"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31049,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,382.5,382.5,0,2023-01-01,6
31050,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,340.5,340.5,0,2023-01-01,6
31051,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1753.5,1753.5,0,2023-01-01,6
31052,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,471,471,0,2023-01-01,6
31053,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1164,1164,0,2023-01-01,6
31054,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,802.5,802.5,0,2023-01-01,6
31055,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,2158.5,2158.5,0,2023-01-01,6
31056,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,835.5,835.5,0,2023-01-01,6
31010,"F022-F&D",2023-07-24,"CPICK",NA,FALSE,3489.6,3489.6,0,2023-01-01,6
31019,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1428,1428,0,2023-01-01,6
31034,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1428,1428,0,2023-01-01,6
31063,"F022-F&D",2023-07-25,"CPICK",NA,FALSE,2076.4,2076.4,0,2023-01-01,6
31064,"F022-F&D",2023-07-25,"CPICK",NA,FALSE,2076.4,2076.4,0,2023-01-01,6
31069,"L005-LBGSY",2023-07-25,"MWS-T","NET30",FALSE,1877.76,1877.76,0,2023-01-01,6
31071,"S038-STLKI",2023-07-25,"MWS-T","NET60",FALSE,2489.4,2489.4,0,2023-01-01,6
31072,"S038-STLKI",2023-07-25,"MWS-T","NET60",FALSE,2820,2820,0,2023-01-01,6
31073,"K007-KENWO",2023-07-25,"MWS-T","NET30",FALSE,2790,2790,0,2023-01-01,6
31074,"N016-NANOL",2023-07-25,NA,"NET30",FALSE,1047,1047,0,2023-01-01,6
31075,"C006-C&DTE",2023-07-25,"MWS-T","NET30",FALSE,2859.1,2859.1,0,2023-01-01,6
31076,"K016-KELVI",2023-07-26,"MWS-T","NET45",FALSE,337.88,337.88,0,2023-01-01,6
31077,"V004-VIBRO",2023-07-26,"WWE","NET30",FALSE,1276,1276,0,2023-02-01,5
31017,"M030-MORGO",2023-07-24,NA,"NET45",FALSE,0,0,0,2023-01-01,6
31018,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,1428,1428,0,2023-01-01,6
31020,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,2158.5,2158.5,0,2023-01-01,6
31080,"K007-KENWO",2023-07-26,"MWS-T","NET30",FALSE,3978,3978,0,2023-01-01,6
31095,"M030-MORGO",2023-07-26,NA,"NET45",FALSE,7615.6,7615.6,0,2023-01-01,6
